id,date,provid,provdis,provsub,type,sex,diag
61791144,8/18/2021,36,3615,361503,cat,female,neg
61791131,8/18/2021,36,3612,361209,cat,male,neg
61791129,8/18/2021,36,3614,361401,cat,female,neg
61791128,8/18/2021,36,3614,361403,cat,female,neg
61791127,8/18/2021,36,3614,361402,cat,male,neg
61789324,6/7/2021,36,3603,360303,cat,female,neg
61789343,5/26/2021,36,3609,360902,cat,female,neg
61789342,5/26/2021,36,3609,360901,cat,male,neg
61789355,5/20/2021,36,3602,360201,cat,female,neg
61789349,5/20/2021,36,3606,360610,cat,female,neg
61789346,5/20/2021,36,3606,360611,cat,female,neg
61789379,4/26/2021,36,3615,361504,cat,female,neg
61789377,4/26/2021,36,3608,360804,cat,female,neg
61789374,4/26/2021,36,3608,360803,cat,female,neg
61789369,4/26/2021,36,3606,360603,cat,male,neg
61789368,4/26/2021,36,3606,360605,cat,female,neg
61789367,4/26/2021,36,3606,360607,cat,male,neg
61789373,3/25/2021,36,3603,360301,cat,male,neg
61791216,2/23/2021,36,3601,360104,cat,male,unknown
61789336,1/27/2021,36,3609,360904,cat,male,neg
61789321,1/27/2021,36,3604,360407,cat,female,neg
61789320,1/20/2021,36,3603,360304,cat,male,neg
61789319,1/20/2021,36,3603,360308,cat,male,neg
61789317,1/20/2021,36,3603,360306,cat,male,neg
61791667,1/1/2021,36,3604,360407,cat,male,neg
61789246,7/19/2021,37,3703,370307,cat,male,neg
61789245,7/19/2021,37,3703,370305,cat,male,neg
61789243,7/19/2021,37,3703,370304,cat,female,neg
61787663,4/2/2021,37,3701,370101,cat,male,neg
61788895,1/12/2021,38,4303,430301,cat,male,neg
61791016,9/16/2021,39,3904,390407,cat,male,neg
61789769,8/17/2021,39,3905,390507,cat,female,neg
61789738,8/11/2021,39,3905,390505,cat,female,neg
61789539,8/4/2021,39,3905,390504,cat,male,neg
61789542,7/16/2021,39,3901,390105,cat,male,neg
61789739,7/14/2021,39,3906,390604,cat,male,neg
61789281,6/30/2021,39,3906,390603,cat,male,neg
61789279,6/23/2021,39,3901,390104,cat,female,neg
61789278,6/23/2021,39,3901,390105,cat,male,neg
61789277,6/23/2021,39,3901,390115,cat,male,neg
61788471,5/19/2021,39,3901,390112,cat,female,neg
61788470,5/19/2021,39,3901,390113,cat,male,neg
61788468,5/19/2021,39,3901,390102,cat,male,neg
61787622,3/31/2021,39,3904,390401,cat,female,neg
61787261,2/19/2021,39,3905,390502,cat,male,neg
61786796,2/19/2021,39,3905,390508,cat,female,neg
61786792,2/4/2021,39,3904,390409,cat,female,neg
